Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
5.38667e-01,0.02,-3.8147e-08
5.38669e-01,0.04,0.08
5.38670e-01,0.02,-3.8147e-08
5.38672e-01,0.06,0.08
5.38674e-01,0.04,-3.8147e-08
5.38675e-01,0.04,0.06
5.38677e-01,0.04,-3.8147e-08
5.38678e-01,0.04,0.08
5.38680e-01,0.04,-3.8147e-08
5.38682e-01,0.04,0.06
5.38683e-01,0.04,-3.8147e-08
5.38685e-01,0.04,0.06
5.38686e-01,0.04,-0.02
5.38688e-01,0.04,0.08
5.38690e-01,0.04,-3.8147e-08
5.38691e-01,0.04,0.08
5.38693e-01,0.04,-3.8147e-08
5.38694e-01,0.02,0.06
5.38696e-01,0.04,-3.8147e-08
5.38698e-01,0.04,0.06
5.38699e-01,0.06,-3.8147e-08
5.38701e-01,0.04,0.08
5.38702e-01,0.02,-3.8147e-08
5.38704e-01,0.04,0.08
5.38706e-01,0.02,-3.8147e-08
5.38707e-01,0.04,0.06
5.38709e-01,0.02,-3.8147e-08
5.38710e-01,0.04,0.06
5.38712e-01,0.04,-3.8147e-08
5.38714e-01,0.04,0.06
5.38715e-01,0.04,-3.8147e-08
5.38717e-01,0.04,0.06
5.38718e-01,0.04,-3.8147e-08
5.38720e-01,0.06,0.08
5.38722e-01,0.04,-3.8147e-08
5.38723e-01,0.04,0.06
5.38725e-01,0.04,-3.8147e-08
5.38726e-01,0.04,0.06
5.38728e-01,0.04,-3.8147e-08
5.38730e-01,0.04,0.08
5.38731e-01,0.04,-3.8147e-08
5.38733e-01,0.04,0.06
5.38734e-01,0.02,-3.8147e-08
5.38736e-01,0.04,0.06
5.38738e-01,0.02,-3.8147e-08
5.38739e-01,0.04,0.08
5.38741e-01,0.02,-3.8147e-08
5.38742e-01,0.04,0.06
5.38744e-01,0.02,-3.8147e-08
5.38746e-01,0.04,0.06
5.38747e-01,0.02,-3.8147e-08
5.38749e-01,0.04,0.08
5.38750e-01,0.04,-3.8147e-08
5.38752e-01,0.04,0.08
5.38754e-01,-3.8147e-08,-3.8147e-08
5.38755e-01,0.02,0.06
5.38757e-01,0.02,-3.8147e-08
5.38758e-01,0.04,0.06
5.38760e-01,0.04,-3.8147e-08
5.38762e-01,0.02,0.06
5.38763e-01,0.06,-3.8147e-08
5.38765e-01,0.04,0.08
5.38766e-01,0.02,-3.8147e-08
5.38768e-01,0.02,0.08
5.38770e-01,0.04,-3.8147e-08
5.38771e-01,0.06,0.08
5.38773e-01,0.04,-3.8147e-08
5.38774e-01,0.02,0.08
5.38776e-01,0.04,-3.8147e-08
5.38778e-01,0.02,0.06
5.38779e-01,0.06,-3.8147e-08
5.38781e-01,0.02,0.08
5.38782e-01,0.04,-3.8147e-08
5.38784e-01,0.02,0.08
5.38786e-01,0.02,-3.8147e-08
5.38787e-01,0.02,0.08
5.38789e-01,0.04,-3.8147e-08
5.38790e-01,0.02,0.06
5.38792e-01,0.02,-3.8147e-08
5.38794e-01,0.04,0.06
5.38795e-01,0.02,-3.8147e-08
5.38797e-01,0.02,0.08
5.38798e-01,0.02,-3.8147e-08
5.38800e-01,0.04,0.06
5.38802e-01,0.02,-3.8147e-08
5.38803e-01,0.04,0.08
5.38805e-01,0.04,-3.8147e-08
5.38806e-01,0.04,0.08
5.38808e-01,0.02,-3.8147e-08
5.38810e-01,0.04,0.06
5.38811e-01,0.04,-3.8147e-08
5.38813e-01,0.04,0.06
5.38814e-01,0.02,-3.8147e-08
5.38816e-01,0.04,0.06
5.38818e-01,0.02,-3.8147e-08
5.38819e-01,0.04,0.06
5.38821e-01,0.04,-3.8147e-08
5.38822e-01,0.04,0.06
5.38824e-01,0.02,-3.8147e-08
5.38826e-01,0.02,0.06
5.38827e-01,0.02,-3.8147e-08
5.38829e-01,0.04,0.06
5.38830e-01,0.04,-3.8147e-08
5.38832e-01,0.02,0.06
5.38834e-01,0.04,-3.8147e-08
5.38835e-01,0.04,0.06
5.38837e-01,0.04,-3.8147e-08
5.38838e-01,0.02,0.06
5.38840e-01,0.02,-3.8147e-08
5.38842e-01,0.02,0.06
5.38843e-01,0.04,-0.02
5.38845e-01,0.04,0.06
5.38846e-01,0.04,-3.8147e-08
5.38848e-01,0.04,0.06
5.38850e-01,0.04,-3.8147e-08
5.38851e-01,0.04,0.06
5.38853e-01,0.02,-0.02
5.38854e-01,0.02,0.06
5.38856e-01,0.02,-3.8147e-08
5.38858e-01,0.04,0.06
5.38859e-01,0.02,-0.02
5.38861e-01,0.04,0.06
5.38862e-01,0.04,-3.8147e-08
5.38864e-01,0.04,0.06
5.38866e-01,0.04,-3.8147e-08
5.38867e-01,0.04,0.08
5.38869e-01,0.04,-3.8147e-08
5.38870e-01,0.04,0.08
5.38872e-01,0.02,-3.8147e-08
5.38874e-01,0.04,0.06
5.38875e-01,0.02,-3.8147e-08
5.38877e-01,0.06,0.06
5.38878e-01,0.04,-0.02
5.38880e-01,0.04,0.06
5.38882e-01,0.04,-3.8147e-08
5.38883e-01,0.04,0.08
5.38885e-01,-3.8147e-08,-3.8147e-08
5.38886e-01,0.04,0.06
5.38888e-01,0.04,-3.8147e-08
5.38890e-01,0.02,0.08
5.38891e-01,0.02,-3.8147e-08
5.38893e-01,0.04,0.06
5.38894e-01,0.04,-3.8147e-08
5.38896e-01,0.06,0.06
5.38898e-01,0.04,-3.8147e-08
5.38899e-01,0.02,0.08
5.38901e-01,0.04,-3.8147e-08
5.38902e-01,0.04,0.08
5.38904e-01,0.04,-3.8147e-08
5.38906e-01,0.04,0.08
5.38907e-01,0.04,-3.8147e-08
5.38909e-01,0.04,0.06
5.38910e-01,0.02,-3.8147e-08
5.38912e-01,0.04,0.08
5.38914e-01,0.04,-3.8147e-08
5.38915e-01,0.02,0.06
5.38917e-01,0.04,-3.8147e-08
5.38918e-01,0.02,0.06
5.38920e-01,0.04,-3.8147e-08
5.38922e-01,0.04,0.06
5.38923e-01,0.04,-3.8147e-08
5.38925e-01,0.04,0.06
5.38926e-01,0.04,-3.8147e-08
5.38928e-01,0.02,0.08
5.38930e-01,0.04,-0.02
5.38931e-01,0.04,0.08
5.38933e-01,0.04,-3.8147e-08
5.38934e-01,0.04,0.06
5.38936e-01,0.02,-3.8147e-08
5.38938e-01,0.04,0.06
5.38939e-01,0.04,-3.8147e-08
5.38941e-01,0.04,0.06
5.38942e-01,0.04,-3.8147e-08
5.38944e-01,0.02,0.06
5.38946e-01,0.04,-3.8147e-08
5.38947e-01,0.02,0.06
5.38949e-01,0.04,-0.02
5.38950e-01,0.02,0.06
5.38952e-01,0.04,-3.8147e-08
5.38954e-01,0.04,0.06
5.38955e-01,0.04,-3.8147e-08
